trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-73.33401947927426,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-71.50830009214778,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,0,-153.7632978260611,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-112.64249119580423,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,6,-123.68956596246754,"{0: 5, 1: 3, 2: 4, 3: 0, 4: 2}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,10,-70.03923531922683,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-175.40608002196615,"{0: 11, 1: 0, 2: 3, 3: 4, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,8,5.897218565315406,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,3,-33.17700340926849,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,6,-65.61441882890283,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,10,-60.570679864363775,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-96.72859390049418,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-81.54562878459592,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,5,-38.07250051105273,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,14,-0.7379908578005461,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-25.986626033042857,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,0,-189.68812820239327,"{0: 17, 1: 6, 2: 2, 3: 2, 4: 3}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-69.82116038932158,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,0,-163.54440808220477,"{0: 18, 1: 3, 2: 3, 3: 5, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,13,-42.76942439949041,"{0: 7, 1: 3, 2: 0, 3: 2, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",30,0,-121.7183871044139,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,11,-62.88987763725563,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-115.4317971407897,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,0,-16.800697961387037,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-83.66897623804432,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-74.9416192134901,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-92.48011897083506,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
